,Conversation,name,Speaker,Transcript,English Translation,LID_tags,Language from LID tool,Type of code-switching,Length of turn,Direction of code-switches,Number of code-switches,Start of code-switches,Length of code-switched segments
4021,train_440,train_440_0.wav,ROSESH,"Momma, Soniya to keh rahi hai ki marne vaala koi mard nahi, balki koi aurat hai.","Mother, Sonia is saying that the person who is going to die is not a man, but a woman.","['EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,16,-1,0,-1,-1
4022,train_440,train_440_1.wav,ROSESH,Achchha!,Good!,"['HI', 'OTHER']",HI,-1,1,-1,0,-1,-1
4023,train_440,train_440_2.wav,ROSESH,Marne vaali ka naam 'M' se shuru hota hai!,The name of the killer starts with 'M'!,"['HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,9,-1,0,-1,-1
4024,train_440,train_440_3.wav,INDRAVARDHAN,Monisha!,Monisha!,"['EN', 'OTHER']",EN,-1,1,-1,0,-1,-1
4025,train_441,train_441_0.wav,MAYA,But kyu? Tum apni kavita kyu chodh raheho sweety?,"why boot? Why are you abandoning your poem, sweetie?","['EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,O,9,"['HI > EN', 'EN > HI']",2,"[1, 8]","[7, 1]"
4026,train_441,train_441_1.wav,ROSESH,"Kyuki meri kavita ne humesha muze bura criticism hi diya hai momma, jise maine apni lifeline samjha, wohi meri dushman nikli.","Because my poetry has always given me bad criticism, mother, whom I thought was my lifeline, turned out to be my enemy.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,21,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[7, 9, 11, 12, 15, 16]","[2, 2, 1, 3, 1, 5]"
4027,train_441,train_441_2.wav,SAHIL,"Very correct, infact tumhaari nahi, hum subki dushman nikli.","Very correct, in fact it was not you, we turned out to be everyone's enemy.","['EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,9,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[3, 5, 6]","[2, 1, 3]"
4028,train_441,train_441_3.wav,SAHIL,"So go ahead, cut the cake, congratuations, kavita se aajadi mubarak ho!","So go ahead, cut the cake, congratulations, happy independence with poetry!","['EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,A,12,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",4,"[7, 8, 9, 11]","[1, 1, 2, 1]"
4029,train_442,train_442_0.wav,INDRAVARDHAN,"Clause number 13, tum ghar jamai hargiz nahi banoge,","Clause number 13, you will never become a house-in-law,","['EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,9,['HI > EN'],1,[3],[6]
4030,train_442,train_442_1.wav,ROSESH,Manzoor hai.,It is accepted.,"['HI', 'HI', 'OTHER']",HI,-1,2,-1,0,-1,-1
4031,train_442,train_442_2.wav,INDRAVARDHAN,Tumhe ladki se pyaar ho to bhi.,Even if you love a girl.,"['HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'OTHER']",CSW,-1,7,-1,0,-1,-1
4032,train_442,train_442_4.wav,INDRAVARDHAN,"Ladki bohot koobsurat ho, ek lauti ho, 500 crore ki vaaris ho, to... To tum use momma kaha ke bulaaoge aur uski shaadi mujhe kar doge.","If the girl is very beautiful, a lauti, heir of Rs 500 crores, then you will call her mother and marry her to me.","['HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,26,-1,0,-1,-1
4033,train_442,train_442_5.wav,ROSESH,"Momma, aapne aise shart likhwaai hai!?","Mother, you have written such a condition!?","['EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,6,-1,0,-1,-1
4034,train_442,train_442_6.wav,MAYA,"Tum apne dad ko nahi jaante, haan!? Akal ko bhi vo yuyu ke yaha chod ke aye ho!?","You don't know your dad, yes!? Have you left the famine behind at Yuyu's place?","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,18,['EN > HI'],1,[17],[1]
4035,train_443,train_443_0.wav,INDRAVARDHAN,kya hoga? yeh akhbaar pade ho kya?Monisha ye akhbaaro ka dher is beautiful couch pe kabse pada hai?,"What will happen? Are these newspapers lying there?Monisha, since when has this pile of newspapers been lying on this beautiful couch?","['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,18,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[5, 6, 8, 9, 12, 15]","[1, 2, 1, 3, 3, 3]"
4036,train_443,train_443_1.wav,MONISHA,mmmmm... yead nhi kafi dino se ish area mein aai nhi hu na.,"Mmmmm... I don't remember, I haven't come to this area for a long time.","['EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'OTHER']",CSW,I,13,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",6,"[2, 5, 6, 7, 8, 11]","[3, 1, 1, 1, 3, 2]"
4037,train_443,train_443_2.wav,INDRAVARDHAN,oh I understand. Anyway iss ilaka Mein To Tumhara Aana Jana Hoga Na,"Oh I understand. Anyway, you will have to come and go in this area, right?","['EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,I,13,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",4,"[4, 7, 8, 12]","[3, 1, 4, 1]"
4038,train_443,train_443_3.wav,MONISHA,han,han,['HI'],HI,-1,1,-1,0,-1,-1
4039,train_443,train_443_4.wav,INDRAVARDHAN,To Batao ki yah kapdon ka dher yahan se kab se Pada hoga?,"So tell me, how long would this pile of clothes have been lying here?","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,-1,13,-1,0,-1,-1
4040,train_444,train_444_0.wav,JAISHANKAR,"Haan, Indravardhan bhi pahale bohot bure kapade pehenta tha.","Yes, Indravardhan also used to wear very bad clothes earlier.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,9,-1,0,-1,-1
4041,train_444,train_444_1.wav,MAYA,"Haan, kyu ki Monisha khareed ke laati thi na uske liye t-shirts.","Yes, because Monisha used to buy T-shirts for him.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,12,"['EN > HI', 'HI > EN', 'EN > HI']",3,"[8, 9, 11]","[1, 2, 1]"
4042,train_444,train_444_2.wav,MAYA,"And you know Monisha, t-shirts ko jersey kehati hai, 'I love Mumbai' ka t-shirt kareedati hai, same t-shirt 3 colour mein.","And You Know Monisha, calls T-shirts as jersey, buys 'I Love Mumbai' T-shirt, the same T-shirt is in 3 colours.","['EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'OTHER', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER']",CSW,I,21,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",9,"[5, 6, 7, 9, 11, 12, 13, 15, 19]","[1, 1, 2, 2, 1, 1, 2, 4, 2]"
4043,train_445,train_445_0.wav,MAYA,"Anyways, Sahil...","Anyways, Sahil...","['EN', 'OTHER', 'HI', 'OTHER']",CSW,-1,2,-1,0,-1,-1
4044,train_445,train_445_1.wav,MAYA,Sahil,Sahil,['HI'],HI,-1,1,-1,0,-1,-1
4045,train_445,train_445_2.wav,INDRAVARDHAN,Yeah.,Yeah.,"['EN', 'OTHER']",EN,-1,1,-1,0,-1,-1
4046,train_445,train_445_3.wav,MAYA,"Mai Monisha se pyaar kyu karata hu', vo expression baad mein dena, clinic jaate jaate.","May I give that expression later, why do you love Monisha, while going to the clinic.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,15,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[6, 7, 8, 9, 12, 13]","[1, 1, 1, 3, 1, 2]"
4047,train_446,train_446_2.wav,SAHIL,toh fir iski photographs dekh kar tension unhe hona chaiye isse kyun?,So why should they feel tensed after seeing its photographs?,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,12,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[3, 4, 6, 7]","[1, 2, 1, 5]"
4048,train_447,train_447_0.wav,SAHIL,Hi dad! Good morning mom!,Hi dad! Good morning mom!,"['EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'OTHER']",EN,-1,5,-1,0,-1,-1
4049,train_447,train_447_1.wav,MONISHA,Good morning!,Good morning!,"['EN', 'EN', 'OTHER']",EN,-1,2,-1,0,-1,-1
4050,train_447,train_447_2.wav,MAYA,Nashta karoge? Upma banaya hai maine.,will you have breakfast? I have made an analogy.,"['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,6,-1,0,-1,-1
4051,train_447,train_447_3.wav,SAHIL,Nahi mai nashta kar ke aya hu.,"No, I have come after having breakfast.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1,7,-1,0,-1,-1
4052,train_447,train_447_4.wav,MAYA,"Achchha, kya khaya nashte mein?","Well, what did you eat for breakfast?","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,5,-1,0,-1,-1
4053,train_447,train_447_5.wav,SAHIL,khaya... nashta.,Ate… breakfast.,"['HI', 'OTHER', 'HI', 'OTHER']",HI,-1,2,-1,0,-1,-1
4054,train_448,train_448_0.wav,MAYA,Ye chaai aisi kyu hai?,Why is this tea like this?,"['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,5,-1,0,-1,-1
4055,train_448,train_448_1.wav,MONISHA,"Vo maine coffee me se banae hai na, isalie.",That's why I made it out of coffee.,"['HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'OTHER']",CSW,I,9,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[2, 5, 7, 8]","[3, 2, 1, 1]"
4056,train_448,train_448_2.wav,MAYA,"You know Sahil, Monisha ka statue bana ke neeche compound mein lagaanaa chaahiye, hai na.","You know Sahil, a statue of Monisha should be made and installed in the compound below, isn't it?","['EN', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'OTHER']",CSW,I,15,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",6,"[2, 5, 6, 9, 10, 14]","[3, 1, 3, 1, 4, 1]"
4057,train_449,train_449_2.wav,MONISHA,Teen lakh rupaye!?,Three lakh rupees!?,"['HI', 'HI', 'HI', 'OTHER']",HI,-1,3,-1,0,-1,-1
4058,train_449,train_449_3.wav,INDRAVARDHAN,"Haan, iss ke account me hai teen lakh rupaye.","Yes, he has three lakh rupees in his account.","['HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,9,"['EN > HI', 'HI > EN']",2,"[3, 5]","[2, 4]"
4059,train_449,train_449_4.wav,INDRAVARDHAN,"Teen roj ke andar andar Maya shak se bilakh rahi hogi, lagata hai, lgata hai?","Within three days, Maya will be crying with doubt, it seems?","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,-1,15,-1,0,-1,-1
4060,train_44,train_44_0.wav,SAHIL,What!? Matlab aapne jo 4.5 ghante lambi kavita sunai vo aadhi thi?,"Well, that's why Mrs. Wadiya has partial paralysis, people are dying in her restaurant, her house has been burglarized three times, and her son Freddie has run away with the maid!","['EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,O,12,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[1, 5, 6]","[4, 1, 6]"
4061,train_44,train_44_1.wav,BALDEV,"Haan, kavita ka vishay ki kuch aisa tha na, 'Meri babu ji ki chatri'.","Yes, the subject of the poem was something like this, 'Meri Babuji's umbrella'.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,14,-1,0,-1,-1
4062,train_44,train_44_2.wav,MAYA,Tumhaare babu ji ki chatri pe tumne 9 ghante lambi kavita likhi!?,You wrote a 9 hour long poem on your Babuji's umbrella!?,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,12,-1,0,-1,-1
4063,train_450,train_450_0.wav,INDRAVARDHAN,"rosesh, hume shah jahan ka medical report nhi sunna hai, tu aage dialog suna na","Rosesh, we don't want to hear Shah Jahan's medical report, you listen to the dialogue further.","['HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN']",CSW,I,15,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",7,"[2, 3, 5, 7, 12, 13, 14]","[1, 2, 2, 5, 1, 1, 1]"
4064,train_450,train_450_1.wav,ROSESH,"okay, suniye","ok, listen","['EN', 'OTHER', 'HI']",CSW,O,2,['HI > EN'],1,[1],[1]
4065,train_450,train_450_2.wav,ROSESH,"ghasar ghasar ghasar ghasar, ghasar ghasar ghasar ghasar.","Ghasar Ghasar Ghasar Ghasar, Ghasar Ghasar Ghasar Ghasar.","['HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,8,-1,0,-1,-1
4066,train_450,train_450_3.wav,INDRAVARDHAN,"ek min ek min, ye shah jahan ko kya ho rha hai","One in one, what's happening to this Shah Jahan?","['HI', 'HI', 'HI', 'EN', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI']",CSW,-1,12,-1,0,-1,-1
4067,train_450,train_450_4.wav,SAHIL,shah jahan nariyal ko pathar pe ghis ghis kar chatni bana rha hai,Shah Jahan is making chutney by grinding coconut on a stone,"['EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI']",CSW,-1,13,-1,0,-1,-1
4068,train_450,train_450_5.wav,INDRAVARDHAN,"haan haan right right, us zamane me mixer grinder to hoga nhi.","Yes yes right right, there would be no mixer grinder in those days.","['HI', 'HI', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,12,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[2, 5, 6, 10]","[3, 1, 4, 2]"
4069,train_451,train_451_0.wav,ROSESH,sahil bhai goa chale kya water surfing ke liye,"Sahil Bhai, should we go to Goa for water surfing?","['HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI']",CSW,I,9,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[2, 3, 5, 7]","[1, 2, 2, 2]"
4070,train_451,train_451_1.wav,MAYA,oh don't be silly tumhe tumhe tairna nahi aata,Oh don't be silly you you can't swim,"['EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI']",CSW,I,9,['HI > EN'],1,[4],[5]
4071,train_451,train_451_2.wav,ROSESH,toh kya hua dubna toh aata haina. dubduk dubduk dubduk gudu,Toh kya hua dubna toh aata haina. Dduk Dduk Dduk Gudu,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI']",CSW,-1,11,-1,0,-1,-1
4072,train_452,train_452_0.wav,ROSESH,Momma aap mujhse Dur hi Rahe to Behtar hoga,"Mother, it would be better if you stay away from me.","['EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'HI']",CSW,-1,9,-1,0,-1,-1
4073,train_452,train_452_1.wav,MAYA,Batao Phool Khushbu Se Dur Rah sakta hai?,"Tell me, can a flower stay away from its fragrance?","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,8,-1,0,-1,-1
4074,train_452,train_452_2.wav,ROSESH,Yah line seriously middle class Nahin Hai?,This line is not seriously middle class?,"['HI', 'EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,7,"['EN > HI', 'HI > EN']",2,"[1, 5]","[4, 2]"
4075,train_453,train_453_0.wav,INDRAVARDHAN,"Kuku, bye bye bolo daddy ko. Aur uncle ko bhi bye bolo, kyu ki ye election ke baad hi dikhenge. Bye bye bol raha hai. Chalo! Chal!","Kuku, say bye bye to daddy. And say bye to uncle too, because he will be seen only after the elections. Saying bye bye. Let us go! Ambulatory!","['HI', 'OTHER', 'EN', 'EN', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,I,27,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",14,"[1, 3, 4, 5, 7, 8, 10, 11, 14, 16, 18, 19, 20, 22]","[2, 1, 1, 2, 1, 2, 1, 3, 2, 2, 1, 1, 2, 5]"
4076,train_454,train_454_0.wav,MAYA,"I am telling you, Rosesh ko koi baat sata rahi hai.","Mr. Am telling you, something is bothering Rosesh.","['EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,A,11,['HI > EN'],1,[4],[7]
4077,train_454,train_454_1.wav,MAYA,"Uske talent ko koi sahi tarah se pahachaan paaega ya nahi, iss baat ki chinta ho rahi hai use.",He is worried about whether anyone will be able to recognize his talent properly or not.,"['HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,19,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",8,"[1, 2, 6, 7, 9, 10, 15, 16]","[1, 4, 1, 2, 1, 5, 1, 3]"
4078,train_454,train_454_2.wav,INDRAVARDHAN,Mujhe to uska talent pahachaane vaale ki chinta ho rahi hai! Marega bichaara!,I am worried about who will recognize his talent! Poor guy will die!,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,I,13,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[3, 4, 8, 9]","[1, 4, 1, 4]"
4079,train_455,train_455_0.wav,MAYA,"Or stop it sweety, swadamini ka... that must be her. Hello, the sarabhai residence. Hi swadamini!","And Stop It Sweety, Swadmini's... Under Must Be Her. Hello, The Sarabhai Residence. Hi Swadmini!","['EN', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'OTHER', 'EN', 'HI', 'EN', 'OTHER', 'EN', 'HI', 'OTHER']",CSW,I,16,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",5,"[3, 6, 12, 13, 15]","[3, 6, 1, 2, 1]"
4080,train_455,train_455_1.wav,MONISHA,How are you mat puchna mummy ji warna 500 rs laga degi.,"Don't ask how you are, otherwise mom will impose Rs 500.","['EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,12,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[4, 8, 10]","[4, 2, 2]"
4081,train_456,train_456_4.wav,MAYA,"This is even worse Indravardhan. I mean ye, ""Pch ,pch, slurp"" karke khaana khaana is classic middle class.","This is even orse indravardhan. I mean, eating food by ""puch, puch, slurp"" is the classic middle class.","['EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'EN', 'OTHER']",CSW,I,18,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",4,"[4, 5, 9, 12]","[1, 4, 3, 6]"
4082,train_456,train_456_5.wav,INDRAVARDHAN,"Maya... chammach se khau to problem, haat se khau to problem, to kya direct muh se khau.","Maya... If you say it with a spoon then there is a problem, if you say it with the market then there is a problem, then why say it directly with the mouth.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'EN', 'HI', 'EN', 'HI', 'OTHER']",CSW,I,17,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",10,"[4, 6, 7, 8, 9, 12, 13, 14, 15, 16]","[2, 1, 1, 1, 3, 1, 1, 1, 1, 1]"
4083,train_457,train_457_0.wav,MAYA,Ohh…Indravardhan! Bilkul paagal kar denga mujhe! Usne bechare Rosesh ka jeena haram kar diya hai!,Ohhh…Indravardhan! Will drive me absolutely crazy! He has made life miserable for poor Rosesh!,"['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,15,-1,0,-1,-1
4084,train_457,train_457_1.wav,SAHIL,Aj kya hua?,what happened today?,"['HI', 'HI', 'HI', 'OTHER']",HI,-1,3,-1,0,-1,-1
4085,train_457,train_457_2.wav,MAYA,"You're not going to belive this, Rosesh kavita suna raha tha, aur Indravardhan ne doodh ka glass actually Rosesh ke sar pe khaali kar diya! Can you believe it?","You're Not Going to Believe This, Rosesh was reciting poetry, and Indravardhan actually emptied the glass of milk on Rosesh's head! Can you believe it?","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER']",CSW,"A, I",29,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",6,"[6, 13, 14, 16, 18, 25]","[7, 1, 2, 2, 7, 4]"
4086,train_457,train_457_3.wav,SAHIL,Lekin mom Rosesh ne bhi kavita sunayi. Vo bhi kuch kam nahi hai!,But mother Rosesh also recited the poem. That too is nothing less!,"['HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,13,"['EN > HI', 'HI > EN']",2,"[1, 2]","[1, 11]"
4087,train_458,train_458_0.wav,SAHIL,"Monisha! Tumne dekha nahi, apana Rosesh ghar aa gaya hai. To jaa kar kuch meetha banao, jao.","Monisha! Haven't you seen, your Rosesh has come home. So go make something sweet, go.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,-1,17,-1,0,-1,-1
4088,train_458,train_458_1.wav,MAYA,"Haan, aur bohot time lage na, aisi koi meethai bana apane ghar mein.","Yes, and it doesn't take much time to make such a sweet at home.","['HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,13,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[3, 4, 5, 6]","[1, 1, 1, 7]"
4089,train_459,train_459_0.wav,INDRAVARDHAN,Yaani shart jeetne ke liye tumne mujhe bevkoof banaya!?,That means you fooled me to win the bet!?,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,9,-1,0,-1,-1
4090,train_459,train_459_1.wav,MONISHA,Aur mujhe kangaal! Daddy ji aapko yaad rakhna chahiye tha na ki aaj kuchh bhi nahi hai!,"And pauper me! Daddy, you should have remembered that today is nothing!","['HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,17,-1,0,-1,-1
4091,train_459,train_459_2.wav,INDRAVARDHAN,Yaad rakhoong mai..Achchhi tarah yaad rakhoonga mai!,I will remember…I will remember well!,"['HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,7,-1,0,-1,-1
4092,train_45,train_45_0.wav,SAHIL,what point proven?,what point proven?,"['EN', 'EN', 'EN', 'OTHER']",EN,-1,3,-1,0,-1,-1
